Date,Total Cases,New Cases,New Cases 7-Day Moving Average,Case Growth,Cases Growth 7DMA,Total Deaths,New Deaths,New Deaths 7DMA,Death Growth,Death Growth 7DMA,Total Recoveries,New Recoveries,Recovery Rate,Active Cases,Case Fatality Rate (CFR),Adjusted CFR,Total Deaths per MM Population,Total Cases per MM Population,Active Cases per ICU Bed
1/25/2020,3,3,3,0,0,0,0,0,0,0,0,0,0%,3,0%,0,0,0.09,
1/26/2020,4,1,2,33.33%,16.67%,0,0,0,0,0,0,0,0%,4,0%,0,0,0.12,
1/27/2020,4,0,1.333333333,0,11.11%,0,0,0,0,0,0,0,0%,4,0%,0,0,0.12,
1/28/2020,4,0,1,0,8.33%,0,0,0,0,0,0,0,0%,4,0%,0,0,0.12,
1/29/2020,7,3,1.4,75%,21.67%,0,0,0,0,0,0,0,0%,7,0%,0,0,0.22,
1/30/2020,8,1,1.333333333,14.29%,20.44%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
1/31/2020,8,0,1.142857143,0,17.52%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/1/2020,8,0,0.714285714,0,17.52%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/2/2020,8,0,0.571428571,0,12.76%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/3/2020,8,0,0.571428571,0,12.76%,0,0,0,0,0,0,0,0%,8,0%,0,0,0.25,
2/4/2020,10,2,0.857142857,25%,16.33%,0,0,0,0,0,0,0,0%,10,0%,0,0,0.31,
2/5/2020,12,2,0.714285714,20%,8.47%,0,0,0,0,0,0,0,0%,12,0%,0,0,0.37,
2/6/2020,12,0,0.571428571,0,6.43%,0,0,0,0,0,0,0,0%,12,0%,0,0,0.37,
2/7/2020,12,0,0.571428571,0,6.43%,0,0,0,0,0,1,1,8.33%,11,0%,0%,0,0.37,
2/8/2020,16,4,1.142857143,33.33%,11.19%,0,0,0,0,0,1,0,6.25%,15,0%,0%,0,0.49,
2/9/2020,16,0,1.142857143,0,11.19%,0,0,0,0,0,1,0,6.25%,15,0%,0%,0,0.49,
2/10/2020,18,2,1.428571429,12.50%,12.98%,0,0,0,0,0,1,0,5.56%,17,0%,0%,0,0.56,
2/11/2020,18,0,1.142857143,0,9.40%,0,0,0,0,0,3,2,16.67%,15,0%,0%,0,0.56,
2/12/2020,18,0,0.857142857,0,6.55%,0,0,0,0,0,3,0,16.67%,15,0%,0%,0,0.56,
2/13/2020,19,1,1,5.56%,7.34%,0,0,0,0,0,3,0,15.79%,16,0%,0%,0,0.59,
2/14/2020,19,0,1,0,7.34%,0,0,0,0,0,3,0,15.79%,16,0%,0%,0,0.59,
2/15/2020,22,3,0.857142857,15.79%,4.84%,0,0,0,0,0,7,4,31.82%,15,0%,0%,0,0.68,
2/16/2020,22,0,0.857142857,0,4.84%,0,0,0,0,0,7,0,31.82%,15,0%,0%,0,0.68,
2/17/2020,22,0,0.571428571,0,3.05%,0,0,0,0,0,7,0,31.82%,15,0%,0%,0,0.68,
2/18/2020,22,0,0.571428571,0,3.05%,0,0,0,0,0,13,6,59.09%,9,0%,0%,0,0.68,
2/19/2020,22,0,0.571428571,0,3.05%,0,0,0,0,0,15,2,68.18%,7,0%,0%,0,0.68,
2/20/2020,22,0,0.428571429,0,2.26%,0,0,0,0,0,15,0,68.18%,7,0%,0%,0,0.68,
2/21/2020,22,0,0.428571429,0,2.26%,0,0,0,0,0,15,0,68.18%,7,0%,0%,0,0.68,
2/22/2020,22,0,0,0,0,0,0,0,0,0,15,0,68.18%,7,0%,0%,0,0.68,
2/23/2020,22,0,0,0,0,0,0,0,0,0,15,0,68.18%,7,0%,0%,0,0.68,
2/24/2020,22,0,0,0,0,0,0,0,0,0,18,3,81.82%,4,0%,0%,0,0.68,
2/25/2020,22,0,0,0,0,0,0,0,0,0,18,0,81.82%,4,0%,0%,0,0.68,
2/26/2020,22,0,0,0,0,0,0,0,0,0,18,0,81.82%,4,0%,0%,0,0.68,
2/27/2020,23,1,0.142857143,4.55%,0.65%,0,0,0,0,0,18,0,78.26%,5,0%,0%,0,0.71,
2/28/2020,23,0,0.142857143,0,0.65%,0,0,0,0,0,18,0,78.26%,5,0%,0%,0,0.71,
2/29/2020,25,2,0.428571429,8.70%,1.89%,0,0,0,0,0,18,0,72%,7,0%,0%,0,0.77,
3/1/2020,29,4,1,16%,4.18%,0,0,0,0,0,18,0,62.07%,11,0%,0%,0,0.9,
3/2/2020,29,0,1,0,4.18%,0,0,0,0,0,18,0,62.07%,11,0%,0%,0,0.9,
3/3/2020,36,7,2,24.14%,7.63%,0,0,0,0,0,22,4,61.11%,14,0%,0%,0,1.11,
3/4/2020,50,14,4,38.89%,13.18%,0,0,0,0,0,22,0,44%,28,0%,0%,0,1.54,
3/5/2020,50,0,3.857142857,0,12.53%,0,0,0,0,0,22,0,44%,28,0%,0%,0,1.54,
3/6/2020,83,33,8.571428571,66%,21.96%,0,0,0,0,0,22,0,26.51%,61,0%,0%,0,2.56,
3/7/2020,93,10,9.714285714,12.05%,22.44%,0,0,0,0,0,23,1,24.73%,70,0%,0%,0,2.87,
3/8/2020,99,6,10,6.45%,21.08%,0,0,0,0,0,24,1,24.24%,75,0%,0%,0,3.06,
3/9/2020,117,18,12.57142857,18.18%,23.67%,0,0,0,0,0,24,0,20.51%,93,0%,0%,0,3.61,
3/10/2020,129,12,13.28571429,10.26%,21.69%,0,0,0,0,0,24,0,18.60%,105,0%,0%,0,3.99,
3/11/2020,149,20,14.14285714,15.50%,18.35%,0,0,0,0,0,26,2,17.45%,123,0%,0%,0,4.6,
3/12/2020,149,0,14.14285714,0,18.35%,0,0,0,0,0,26,0,17.45%,123,0%,0%,0,4.6,
3/13/2020,197,48,16.28571429,32.21%,13.52%,0,0,0,0,0,26,0,13.20%,171,0%,0%,0,6.09,
3/14/2020,238,41,20.71428571,20.81%,14.77%,0,0,0,0,0,35,9,14.71%,203,0%,0%,0,7.35,
3/15/2020,428,190,47,79.83%,25.26%,0,0,0,0,0,42,7,9.81%,386,0%,0%,0,13.22,
3/16/2020,566,138,64.14285714,32.24%,27.26%,0,0,0,0,0,42,0,7.42%,524,0%,0%,0,17.49,
3/17/2020,673,107,77.71428571,18.90%,28.50%,2,2,0.285714286,0,0,49,7,7.28%,622,0.30%,3.92%,0.06,20.79,
3/18/2020,790,117,91.57142857,17.38%,28.77%,2,0,0.285714286,0,0,60,11,7.59%,728,0.25%,3.23%,0.06,24.41,
3/19/2020,900,110,107.2857143,13.92%,30.76%,2,0,0.285714286,0,0,75,15,8.33%,823,0.22%,2.60%,0.06,27.81,
3/20/2020,1030,130,119,14.44%,28.22%,3,1,0.428571429,50%,7.14%,87,12,8.45%,940,0.29%,3.33%,0.09,31.82,
3/21/2020,1183,153,135,14.85%,27.37%,4,1,0.571428571,33.33%,11.90%,114,27,9.64%,1065,0.34%,3.39%,0.12,36.55,
3/22/2020,1306,123,125.4285714,10.40%,17.45%,10,6,1.428571429,150%,33.33%,139,25,10.64%,1157,0.77%,6.71%,0.31,40.35,
3/23/2020,1518,212,136,16.23%,15.16%,14,4,2,40%,39.05%,159,20,10.47%,1345,0.92%,8.09%,0.43,46.9,
3/24/2020,1624,106,135.8571429,6.98%,13.46%,16,2,2,14.29%,41.09%,183,24,11.27%,1425,0.99%,8.04%,0.49,50.18,
3/25/2020,1796,172,143.7142857,10.59%,12.49%,20,4,2.571428571,25%,44.66%,199,16,11.08%,1577,1.11%,9.13%,0.62,55.49,
3/26/2020,2031,235,161.5714286,13.08%,12.37%,23,3,3,15%,46.80%,215,16,10.59%,1793,1.13%,9.66%,0.71,62.75,
3/27/2020,2161,130,161.5714286,6.40%,11.22%,26,3,3.285714286,13.04%,41.52%,259,44,11.99%,1876,1.20%,9.12%,0.8,66.77,
3/28/2020,2320,159,162.4285714,7.36%,10.15%,27,1,3.285714286,3.85%,37.31%,320,61,13.79%,1973,1.16%,7.78%,0.83,71.68,
3/29/2020,2470,150,166.2857143,6.47%,9.59%,35,8,3.571428571,29.63%,20.12%,388,68,15.71%,2047,1.42%,8.27%,1.08,76.31,
3/30/2020,2626,156,158.2857143,6.32%,8.17%,37,2,3.285714286,5.71%,15.22%,479,91,18.24%,2110,1.41%,7.17%,1.14,81.13,
3/31/2020,2766,140,163.1428571,5.33%,7.94%,43,6,3.857142857,16.22%,15.49%,537,58,19.41%,2186,1.55%,7.41%,1.33,85.46,
4/1/2020,2908,142,158.8571429,5.13%,7.16%,45,2,3.571428571,4.65%,12.59%,645,108,22.18%,2218,1.55%,6.52%,1.39,89.85,
4/2/2020,3116,208,155,7.15%,6.31%,50,5,3.857142857,11.11%,12.03%,767,122,24.61%,2299,1.60%,6.12%,1.54,96.27,
4/3/2020,3333,217,167.4285714,6.96%,6.39%,53,3,3.857142857,6%,11.02%,827,60,24.81%,2453,1.59%,6.02%,1.64,102.98,
4/4/2020,3483,150,166.1428571,4.50%,5.98%,57,4,4.285714286,7.55%,11.55%,915,88,26.27%,2511,1.64%,5.86%,1.76,107.61,
4/5/2020,3662,179,170.2857143,5.14%,5.79%,61,4,3.714285714,7.02%,8.32%,1005,90,27.44%,2596,1.67%,5.72%,1.88,113.14,
4/6/2020,3793,131,166.7142857,3.58%,5.40%,62,1,3.571428571,1.64%,7.74%,1241,236,32.72%,2490,1.63%,4.76%,1.92,117.19,
4/7/2020,3963,170,171,4.48%,5.28%,63,1,2.857142857,1.61%,5.65%,1321,80,33.33%,2579,1.59%,4.55%,1.95,122.44,
4/8/2020,4119,156,173,3.94%,5.11%,65,2,2.857142857,3.17%,5.44%,1487,166,36.10%,2567,1.58%,4.19%,2.01,127.26,
4/9/2020,4228,109,158.8571429,2.65%,4.46%,67,2,2.428571429,3.08%,4.30%,1608,121,38.03%,2553,1.58%,4%,2.07,130.63,
4/10/2020,4346,118,144.7142857,2.79%,3.87%,70,3,2.428571429,4.48%,4.08%,1830,222,42.11%,2446,1.61%,3.68%,2.16,134.28,
4/11/2020,4530,184,149.5714286,4.23%,3.83%,73,3,2.285714286,4.29%,3.61%,1995,165,44.04%,2462,1.61%,3.53%,2.26,139.96,
4/12/2020,4683,153,145.8571429,3.38%,3.58%,76,3,2.142857143,4.11%,3.20%,2108,113,45.01%,2499,1.62%,3.48%,2.35,144.69,
4/13/2020,4817,134,146.2857143,2.86%,3.48%,77,1,2.142857143,1.32%,3.15%,2276,168,47.25%,2464,1.60%,3.27%,2.38,148.83,
4/14/2020,4987,170,146.2857143,3.53%,3.34%,82,5,2.714285714,6.49%,3.85%,2478,202,49.69%,2427,1.64%,3.20%,2.53,154.08,
4/15/2020,5072,85,136.1428571,1.70%,3.02%,83,1,2.571428571,1.22%,3.57%,2647,169,52.19%,2342,1.64%,3.04%,2.56,156.71,
4/16/2020,5182,110,136.2857143,2.17%,2.95%,84,1,2.428571429,1.20%,3.30%,2766,119,53.38%,2332,1.62%,2.95%,2.6,160.11,
4/17/2020,5251,69,129.2857143,1.33%,2.74%,86,2,2.285714286,2.38%,3%,2967,201,56.50%,2198,1.64%,2.82%,2.66,162.24,
4/18/2020,5305,54,110.7142857,1.03%,2.29%,88,2,2.142857143,2.33%,2.72%,3102,135,58.47%,2115,1.66%,2.76%,2.72,163.91,
4/19/2020,5389,84,100.8571429,1.58%,2.03%,89,1,1.857142857,1.14%,2.30%,3197,95,59.32%,2103,1.65%,2.71%,2.75,166.5,
4/20/2020,5425,36,86.85714286,0.67%,1.72%,89,0,1.714285714,0,2.11%,3295,98,60.74%,2041,1.64%,2.63%,2.75,167.61,
4/21/2020,5482,57,70.71428571,1.05%,1.36%,92,3,1.428571429,3.37%,1.66%,3349,54,61.09%,2041,1.68%,2.67%,2.84,169.38,
4/22/2020,5532,50,65.71428571,0.91%,1.25%,93,1,1.428571429,1.09%,1.64%,3452,103,62.40%,1987,1.68%,2.62%,2.87,170.92,
4/23/2020,5603,71,60.14285714,1.28%,1.12%,95,2,1.571428571,2.15%,1.78%,3542,90,63.22%,1966,1.70%,2.61%,2.94,173.11,
4/24/2020,5691,88,62.85714286,1.57%,1.16%,96,1,1.428571429,1.05%,1.59%,3663,121,64.36%,1932,1.69%,2.55%,2.97,175.83,
4/25/2020,5742,51,62.42857143,0.90%,1.14%,98,2,1.428571429,2.08%,1.55%,3762,99,65.52%,1882,1.71%,2.54%,3.03,177.41,
4/26/2020,5780,38,55.85714286,0.66%,1.01%,98,0,1.285714286,0,1.39%,3862,100,66.82%,1820,1.70%,2.47%,3.03,178.58,
4/27/2020,5820,40,56.42857143,0.69%,1.01%,99,1,1.428571429,1.02%,1.54%,3957,95,67.99%,1764,1.70%,2.44%,3.06,179.82,
4/28/2020,5851,31,52.71428571,0.53%,0.93%,100,1,1.142857143,1.01%,1.20%,4032,75,68.91%,1719,1.71%,2.42%,3.09,180.78,
4/29/2020,5945,94,59,1.61%,1.03%,100,0,1,0,1.04%,4087,55,68.75%,1758,1.68%,2.39%,3.09,183.68,
4/30/2020,6002,57,57,0.96%,0.99%,102,2,1,2%,1.02%,4171,84,69.49%,1729,1.70%,2.39%,3.15,185.44,
5/1/2020,6071,69,54.28571429,1.15%,0.93%,103,1,1,0.98%,1.01%,4210,39,69.35%,1758,1.70%,2.39%,3.18,187.57,
5/2/2020,6176,105,62,1.73%,1.05%,103,0,0.714285714,0,0.72%,4326,116,70.05%,1747,1.67%,2.33%,3.18,190.82,
5/3/2020,6298,122,74,1.98%,1.24%,105,2,1,1.94%,0.99%,4413,87,70.07%,1780,1.67%,2.32%,3.24,194.59,
5/4/2020,6353,55,76.14285714,0.87%,1.26%,105,0,0.857142857,0,0.85%,4484,71,70.58%,1764,1.65%,2.29%,3.24,196.29,
5/5/2020,6383,30,76,0.47%,1.25%,106,1,0.857142857,0.95%,0.84%,4567,83,71.55%,1710,1.66%,2.27%,3.28,197.21,
5/6/2020,6428,45,69,0.70%,1.12%,107,1,1,0.94%,0.97%,4702,135,73.15%,1619,1.66%,2.22%,3.31,198.6,
5/7/2020,6467,39,66.42857143,0.61%,1.07%,107,0,0.714285714,0,0.69%,4776,74,73.85%,1584,1.65%,2.19%,3.31,199.81,
5/8/2020,6535,68,66.28571429,1.05%,1.06%,107,0,0.571428571,0,0.55%,4864,88,74.43%,1564,1.64%,2.15%,3.31,201.91,
5/9/2020,6589,54,59,0.83%,0.93%,108,1,0.714285714,0.93%,0.68%,4929,65,74.81%,1552,1.64%,2.14%,3.34,203.58,
5/10/2020,6656,67,51.14285714,1.02%,0.79%,108,0,0.428571429,0,0.40%,5025,96,75.50%,1523,1.62%,2.10%,3.34,205.65,
5/11/2020,6726,70,53.28571429,1.05%,0.82%,109,1,0.571428571,0.93%,0.54%,5113,88,76.02%,1504,1.62%,2.09%,3.37,207.81,
5/12/2020,6742,16,51.28571429,0.24%,0.79%,109,0,0.428571429,0,0.40%,5223,110,77.47%,1410,1.62%,2.04%,3.37,208.31,
5/13/2020,6779,37,50.14285714,0.55%,0.76%,111,2,0.571428571,1.83%,0.53%,5281,58,77.90%,1387,1.64%,2.06%,3.43,209.45,
5/14/2020,6819,40,50.28571429,0.59%,0.76%,112,1,0.714285714,0.90%,0.66%,5351,70,78.47%,1356,1.64%,2.05%,3.46,210.68,
5/15/2020,6855,36,45.71428571,0.53%,0.69%,112,0,0.714285714,0,0.66%,5439,88,79.34%,1304,1.63%,2.02%,3.46,211.8,
5/16/2020,6872,17,40.42857143,0.25%,0.60%,113,1,0.714285714,0.89%,0.65%,5512,73,80.21%,1247,1.64%,2.01%,3.49,212.32,
5/17/2020,6894,22,34,0.32%,0.50%,113,0,0.714285714,0,0.65%,5571,59,80.81%,1210,1.64%,1.99%,3.49,213,
5/18/2020,6941,47,30.71428571,0.68%,0.45%,113,0,0.571428571,0,0.52%,5615,44,80.90%,1213,1.63%,1.97%,3.49,214.45,
5/19/2020,6978,37,33.71428571,0.53%,0.49%,114,1,0.714285714,0.88%,0.64%,5646,31,80.91%,1218,1.63%,1.98%,3.52,215.6,
5/20/2020,7009,31,32.85714286,0.44%,0.48%,114,0,0.428571429,0,0.38%,5706,60,81.41%,1189,1.63%,1.96%,3.52,216.55,
5/21/2020,7059,50,34.28571429,0.71%,0.49%,114,0,0.285714286,0,0.25%,5796,90,82.11%,1149,1.61%,1.93%,3.52,218.1,
5/22/2020,7137,78,40.28571429,1.10%,0.58%,115,1,0.428571429,0.88%,0.38%,5859,63,82.09%,1163,1.61%,1.93%,3.55,220.51,
5/23/2020,7185,48,44.71428571,0.67%,0.64%,115,0,0.285714286,0,0.25%,5912,53,82.28%,1158,1.60%,1.91%,3.55,221.99,
5/24/2020,7245,60,50.14285714,0.84%,0.71%,115,0,0.285714286,0,0.25%,5945,33,82.06%,1185,1.59%,1.90%,3.55,223.85,
5/25/2020,7417,172,68,2.37%,0.95%,115,0,0.285714286,0,0.25%,5979,34,80.61%,1323,1.55%,1.89%,3.55,229.16,
5/26/2020,7604,187,89.42857143,2.52%,1.24%,115,0,0.142857143,0,0.13%,6041,62,79.45%,1448,1.51%,1.87%,3.55,234.94,
5/27/2020,7619,15,87.14285714,0.20%,1.20%,115,0,0.142857143,0,0.13%,6083,42,79.84%,1421,1.51%,1.86%,3.55,235.4,
5/28/2020,7629,10,81.42857143,0.13%,1.12%,115,0,0.142857143,0,0.13%,6169,86,80.86%,1345,1.51%,1.83%,3.55,235.71,
5/29/2020,7732,103,85,1.35%,1.15%,115,0,0,0,0,6235,66,80.64%,1382,1.49%,1.81%,3.55,238.89,
5/30/2020,7762,30,82.42857143,0.39%,1.11%,115,0,0,0,0,6330,95,81.55%,1317,1.48%,1.78%,3.55,239.82,
5/31/2020,7819,57,82,0.73%,1.10%,115,0,0,0,0,6353,23,81.25%,1351,1.47%,1.78%,3.55,241.58,
6/1/2020,7857,38,62.85714286,0.49%,0.83%,115,0,0,0,0,6404,51,81.51%,1338,1.46%,1.76%,3.55,242.75,
6/2/2020,7877,20,39,0.25%,0.51%,115,0,0,0,0,6470,66,82.14%,1292,1.46%,1.75%,3.55,243.37,
6/3/2020,7970,93,50.14285714,1.18%,0.65%,115,0,0,0,0,6531,61,81.94%,1324,1.44%,1.73%,3.55,246.25,
6/4/2020,8247,277,88.28571429,3.48%,1.12%,115,0,0,0,0,6559,28,79.53%,1573,1.39%,1.72%,3.55,254.8,
6/5/2020,8266,19,76.28571429,0.23%,0.96%,116,1,0.142857143,0.87%,0.12%,6610,51,79.97%,1540,1.40%,1.72%,3.58,255.39,
6/6/2020,8303,37,77.28571429,0.45%,0.97%,117,1,0.285714286,0.86%,0.25%,6635,25,79.91%,1551,1.41%,1.73%,3.61,256.53,
6/7/2020,8322,19,71.85714286,0.23%,0.90%,117,0,0.285714286,0,0.25%,6674,39,80.20%,1531,1.41%,1.72%,3.61,257.12,
6/8/2020,8329,7,67.42857143,0.08%,0.84%,117,0,0.285714286,0,0.25%,6694,20,80.37%,1518,1.40%,1.72%,3.61,257.34,
6/9/2020,8336,7,65.57142857,0.08%,0.82%,117,0,0.285714286,0,0.25%,6975,281,83.67%,1244,1.40%,1.65%,3.61,257.55,
6/10/2020,8338,2,52.57142857,0.02%,0.65%,118,1,0.428571429,0.85%,0.37%,7014,39,84.12%,1206,1.42%,1.65%,3.65,257.62,
6/11/2020,8369,31,17.42857143,0.37%,0.21%,118,0,0.428571429,0,0.37%,7065,51,84.42%,1186,1.41%,1.64%,3.65,258.57,
6/12/2020,8402,33,19.42857143,0.39%,0.23%,119,1,0.428571429,0.85%,0.37%,7168,103,85.31%,1115,1.42%,1.63%,3.68,259.59,
6/13/2020,8445,43,20.28571429,0.51%,0.24%,120,1,0.428571429,0.84%,0.36%,7311,143,86.57%,1014,1.42%,1.61%,3.71,260.92,
6/14/2020,8453,8,18.71428571,0.09%,0.22%,121,1,0.571428571,0.83%,0.48%,7346,35,86.90%,986,1.43%,1.62%,3.74,261.17,
6/15/2020,8494,41,23.57142857,0.49%,0.28%,121,0,0.571428571,0,0.48%,7400,54,87.12%,973,1.42%,1.61%,3.74,262.44,
6/16/2020,8505,11,24.14285714,0.13%,0.29%,121,0,0.571428571,0,0.48%,7733,333,90.92%,651,1.42%,1.54%,3.74,262.78,
6/17/2020,8515,10,25.28571429,0.12%,0.30%,121,0,0.428571429,0,0.36%,7873,140,92.46%,521,1.42%,1.51%,3.74,263.08,
6/18/2020,8529,14,22.85714286,0.16%,0.27%,121,0,0.428571429,0,0.36%,8000,127,93.80%,408,1.42%,1.49%,3.74,263.52,
6/19/2020,8535,6,19,0.07%,0.22%,121,0,0.285714286,0,0.24%,8070,70,94.55%,344,1.42%,1.48%,3.74,263.7,
6/20/2020,8556,21,15.85714286,0.25%,0.19%,121,0,0.142857143,0,0.12%,8146,76,95.21%,289,1.41%,1.46%,3.74,264.35,
6/21/2020,8572,16,17,0.19%,0.20%,121,0,0,0,0,8156,10,95.15%,295,1.41%,1.46%,3.74,264.85,
6/22/2020,8587,15,13.28571429,0.17%,0.16%,121,0,0,0,0,8177,21,95.23%,289,1.41%,1.46%,3.74,265.31,
6/23/2020,8590,3,12.14285714,0.03%,0.14%,121,0,0,0,0,8186,9,95.30%,283,1.41%,1.46%,3.74,265.4,
6/24/2020,8596,6,11.57142857,0.07%,0.13%,121,0,0,0,0,8231,45,95.75%,244,1.41%,1.45%,3.74,265.59,
6/25/2020,8600,4,10.14285714,0.05%,0.12%,121,0,0,0,0,8271,40,96.17%,208,1.41%,1.44%,3.74,265.71,
6/26/2020,8606,6,10.14285714,0.07%,0.12%,121,0,0,0,0,8294,23,96.37%,191,1.41%,1.44%,3.74,265.9,
6/27/2020,8616,10,8.571428571,0.12%,0.10%,121,0,0,0,0,8308,14,96.43%,187,1.40%,1.44%,3.74,266.21,
6/28/2020,8634,18,8.857142857,0.21%,0.10%,121,0,0,0,0,8318,10,96.34%,195,1.40%,1.43%,3.74,266.76,
6/29/2020,8637,3,7.142857143,0.03%,0.08%,121,0,0,0,0,8334,16,96.49%,182,1.40%,1.43%,3.74,266.85,
6/30/2020,8639,2,7,0.02%,0.08%,121,0,0,0,0,8354,20,96.70%,164,1.40%,1.43%,3.74,266.92,
7/1/2020,8640,1,6.285714286,0.01%,0.07%,121,0,0,0,0,8375,21,96.93%,144,1.40%,1.42%,3.74,266.95,
